id,channel,text,label
1,sms,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",legit
2,sms,Ok lar... Joking wif u oni...,legit
3,sms,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,scam
4,sms,U dun say so early hor... U c already then say...,legit
5,sms,"Nah I don't think he goes to usf, he lives around here though",legit
6,sms,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",scam
7,sms,Even my brother is not like to speak with me. They treat me like aids patent.,legit
8,sms,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,legit
9,sms,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,scam
10,sms,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,scam
11,sms,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",legit
12,sms,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",scam
13,sms,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",scam
14,sms,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,legit
15,sms,I HAVE A DATE ON SUNDAY WITH WILL!!,legit
16,sms,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",scam
17,sms,Oh k...i'm watching here:),legit
18,sms,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,legit
19,sms,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,legit
20,sms,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",scam
21,sms,Is that seriously how you spell his name?,legit
22,sms,IÛ÷m going to try for 2 months ha ha only joking,legit
23,sms,So Ì_ pay first lar... Then when is da stock comin...,legit
24,sms,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,legit
25,sms,Ffffffffff. Alright no way I can meet up with you sooner?,legit
26,sms,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,legit
27,sms,Lol your always so convincing.,legit
28,sms,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,legit
29,sms,"I'm back &amp; we're packing the car now, I'll let you know if there's room",legit
30,sms,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,legit
31,sms,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",legit
32,sms,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,legit
33,sms,K tell me anything about you.,legit
34,sms,For fear of fainting with the of all that housework you just did? Quick have a cuppa,legit
35,sms,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,scam
36,sms,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,legit
37,sms,"Oops, I'll let you know when my roommate's done",legit
38,sms,I see the letter B on my car,legit
39,sms,Anything lor... U decide...,legit
40,sms,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,legit
41,sms,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,legit
42,sms,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",legit
43,sms,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,scam
44,sms,WHO ARE YOU SEEING?,legit
45,sms,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,legit
46,sms,No calls..messages..missed calls,legit
47,sms,Didn't you get hep b immunisation in nigeria.,legit
48,sms,"Fair enough, anything going on?",legit
49,sms,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",legit
50,sms,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,legit
51,sms,What you thinked about me. First time you saw me in class.,legit
52,sms,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",legit
53,sms,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,legit
54,sms,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",legit
55,sms,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,scam
56,sms,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,legit
57,sms,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",scam
58,sms,"Sorry, I'll call later in meeting.",legit
59,sms,Tell where you reached,legit
60,sms,Yes..gauti and sehwag out of odi series.,legit
61,sms,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,legit
62,sms,Ha ha ha good joke. Girls are situation seekers.,legit
63,sms,Its a part of checking IQ,legit
64,sms,"Sorry my roommates took forever, it ok if I come by now?",legit
65,sms,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,legit
66,sms,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",scam
67,sms,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",legit
68,sms,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",scam
69,sms,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",scam
70,sms,I plane to give on this month end.,legit
71,sms,Wah lucky man... Then can save money... Hee...,legit
